4153:1662,823,1663,1663,1663,1663,1664
7668:1662,823,1663,1663,1663,1663,1664
1305:809,823,819,820,821,822,824
4726:813,1209,1205,1206,1207,1208,1210
4587:808,823,819,820,821,822,824
12389:808,823,819,820,821,822,824
20000:808,823,819,820,821,822,824
841:808,823,819,820,821,822,824
1381:813,1209,1205,1206,1207,1208,1210
1393:813,1209,1205,1206,1207,1208,1210
11709:813,1209,1205,1206,1207,1208,1210
1387:813,1209,1205,1206,1207,1208,1210
11998:813,1209,1205,1206,1207,1208,1210
11749:808,823,819,820,821,822,824
1333:808,823,819,820,821,822,824
4151:808,823,1660,1660,1660,1660,1661
11037:808,823,819,820,821,822,824
869:808,823,819,820,821,822,824
861:808,823,819,820,821,822,824
839:808,823,819,820,821,822,824
845:808,823,819,820,821,822,824
847:808,823,819,820,821,822,824
851:808,823,819,820,821,822,824
855:808,823,819,820,821,822,824
859:808,823,819,820,821,822,824
4212:808,823,819,820,821,822,824
4214:808,823,819,820,821,822,824
4215:808,823,819,820,821,822,824
4216:808,823,819,820,821,822,824
4217:808,823,819,820,821,822,824
4218:808,823,819,820,821,822,824
4219:808,823,819,820,821,822,824
4220:808,823,819,820,821,822,824
4221:808,823,819,820,821,822,824
4222:808,823,819,820,821,822,824
4223:808,823,819,820,821,822,824
11748:808,823,819,820,821,822,824
11749:808,823,819,820,821,822,824
11750:808,823,819,820,821,822,824
11751:808,823,819,820,821,822,824
11752:808,823,819,820,821,822,824
11753:808,823,819,820,821,822,824
11754:808,823,819,820,821,822,824
11755:808,823,819,820,821,822,824
11756:808,823,819,820,821,822,824
11757:808,823,819,820,821,822,824
11758:808,823,819,820,821,822,824
6562:813,1209,1205,1206,1207,1208,1210
1293:808,823,819,820,821,822,824
868:808,823,819,820,821,822,824
12795:813,1209,1205,1206,1207,1208,1210
5686:808,823,819,820,821,822,824
12774:808,823,1660,1660,1660,1660,1661
1351:808,823,819,820,821,822,824
4565:1837,823,1836,1836,1836,1836,1836
6739:808,823,819,820,821,822,824
13241:808,823,819,820,821,822,824
1323:808,823,819,820,821,822,824
12000:813,1209,1205,1206,1207,1208,1210
1325:808,823,819,820,821,822,824
772:813,1209,1205,1206,1207,1208,1210
1385:813,1209,1205,1206,1207,1208,1210
3053:813,1209,1205,1206,1207,1208,1210
3054:813,1209,1205,1206,1207,1208,1210
1331:808,823,819,820,821,822,824
9185:4591,823,4226,4227,821,822,4228
811:808,823,819,820,821,822,824
10010:813,1209,1205,1206,1207,1208,1210
9183:4591,823,4226,4227,821,822,4228
1289:808,823,819,820,821,822,824
12788:808,823,819,820,821,822,824
1329:808,823,819,820,821,822,824
12773:808,823,1660,1660,1660,1660,1661
6767:808,823,1660,1660,1660,1660,1661
12006:808,823,1660,1660,1660,1660,1661
6563:813,1209,1205,1206,1207,1208,1210
12809:7053,7044,7052,7049,7048,7047,7043
12926:813,1209,1205,1206,1207,1208,1210
1361:808,823,819,820,821,822,824
7409:808,823,819,820,821,822,824
1379:813,1209,1205,1206,1207,1208,1210
12797:808,823,819,820,821,822,824
4734:2074,823,2076,2076,2076,2076,2077
12727:2316,2321,2317,2318,2319,2320,2322
8878:808,823,819,820,821,822,824
6528:2065,823,2064,2064,2064,2064,824
867:808,823,819,820,821,822,824
5698:808,823,819,820,821,822,824
4170:813,1209,1205,1206,1207,1208,1210
5667:808,823,819,820,821,822,824
11838:7053,7044,7052,7049,7048,7047,7043
11824:1713,1702,1703,1704,1706,1705,1707
4934:2074,823,2076,2076,2076,2076,2077
1307:2561,823,2562,2562,2562,2562,2563
12767:808,823,819,820,821,822,824
1215:808,823,819,820,821,822,824
11235:808,823,819,820,821,822,824
12765:808,823,819,820,821,822,824
